Year;Primary Ticker;COMMUNITY SCORE_x;CSR STRATEGY SCORE_x;EMISSIONS SCORE_x;ENVIRONMENT.PILLAR.SCORE.Value;ENVIRONMENTAL INNOVATION SCORE_x;ESG.COMBINED.SCORE.Value;ESG.CONTROVERSIES.SCORE.Value;ESG.SCORE.Value;GOVERNANCE.SCORE.Value;HUMAN RIGHTS SCORE_x;MANAGEMENT SCORE_x;PRODUCT RESPONSIBILITY SCORE_x;RESOURCE USE SCORE_x;SHAREHOLDERS SCORE_x;SOCIAL.SCORE.Value;WORKFORCE SCORE_x;COMMUNITY SCORE_y;CSR STRATEGY SCORE_y;EMISSIONS SCORE_y;ENVIRONMENT.PILLAR.SCORE.Score;ENVIRONMENTAL INNOVATION SCORE_y;ESG.COMBINED.SCORE.Score;ESG.CONTROVERSIES.SCORE.Score;ESG.SCORE.Score;GOVERNANCE.SCORE.Score;HUMAN RIGHTS SCORE_y;MANAGEMENT SCORE_y;PRODUCT RESPONSIBILITY SCORE_y;RESOURCE USE SCORE_y;SHAREHOLDERS SCORE_y;SOCIAL.SCORE.Score;WORKFORCE SCORE_y
2002;ABT;A+;C;B-;C-;D-;C;A-;C;C;D-;C-;D-;C;A;C+;A;0.9827586206896551;0.3933333333333333;0.5625;0.31200396825396826;0.0;0.3985703231852239;0.8;0.3985703231852239;0.40771773158840136;0.0;0.27136258660508084;0.0;0.3888888888888889;0.871824480369515;0.4223046704495855;0.9137931034482759
2002;ADBE;A+;D-;D-;D-;D-;C+;B-;C+;C+;D-;B;B-;D-;D;B+;A;0.9615384615384616;0.0;0.0;0.0;0.0;0.4695161728384832;0.5454545454545454;0.4695161728384832;0.4256351039260972;0.0;0.6131639722863741;0.5714285714285714;0.0;0.08429561200923788;0.6840482098546617;0.8589743589743589
2002;AIG;D+;D-;D-;C-;D-;D+;A+;D+;D+;D-;D;C;D-;B;D+;D;0.20270270270270271;0.0;0.0;0.28378378378378377;0.0;0.17803191644300204;1.0;0.17803191644300204;0.22625096227867597;0.0;0.1581986143187067;0.4;0.0;0.6039260969976905;0.18756756756756776;0.12162162162162163
2002;AMGN;C+;D-;D-;D-;D-;D+;A+;D+;D+;D-;D+;D-;D-;C-;D+;B-;0.4393939393939394;0.0;0.0;0.0;0.0;0.17339427594303886;1.0;0.17339427594303886;0.20993071593533494;0.0;0.2251732101616628;0.0;0.0;0.29907621247113164;0.23403176748901633;0.5303030303030303
2002;AMZN;D+;D-;D-;D-;D-;D+;A+;D+;C;D-;C-;C+;D-;A+;C-;C-;0.23076923076923078;0.0;0.0;0.0;0.0;0.22850895773262087;1.0;0.22850895773262087;0.3669745958429563;0.0;0.2528868360277136;0.5;0.0;0.9919168591224018;0.28678929765886285;0.2692307692307692
2002;AXP;A;D+;D-;C-;D-;B-;B+;B-;A-;D-;A+;B+;D-;C+;B-;B-;0.89375;0.18;0.0;0.27083333333333326;0.0;0.5509662124711316;0.6666666666666666;0.5509662124711316;0.765878367975366;0.0;0.9711316397228638;0.75;0.0;0.4722863741339492;0.5549395161290325;0.53125
2002;BA;A;C;A;B-;D-;B-;A+;B-;B-;D-;B+;D-;A+;C-;C+;A+;0.875;0.3933333333333333;0.875;0.5738636363636364;0.0;0.512923347234452;1.0;0.512923347234452;0.5635298947908649;0.0;0.6685912240184757;0.0;0.9375;0.32678983833718245;0.44262295081967207;0.925
2002;BAC;D;D-;A;A;C;C;A+;C;B;D-;B+;B-;A+;B+;D;D-;0.1375;0.0;0.9107142857142857;0.9014983579638752;0.4;0.37611523059245444;1.0;0.37611523059245444;0.5980754426481912;0.0;0.684757505773672;0.5192307692307693;0.9482758620689655;0.707852193995381;0.1568393300248141;0.08125
2002;BIIB;B-;D-;D-;D-;D-;D;D+;D;D+;D-;C-;D-;D-;D+;D+;C-;0.5303030303030303;0.0;0.0;0.0;0.0;0.16243486889581635;0.25;0.16243486889581635;0.23718244803695163;0.0;0.29445727482678985;0.0;0.0;0.20438799076212472;0.1921257181480228;0.2878787878787879
2002;BK;B+;D-;D-;C-;D-;C+;A+;C+;C+;D-;B;C+;D-;D+;B;B+;0.734375;0.0;0.0;0.277777777777778;0.0;0.4626195868085058;1.0;0.4626195868085058;0.4792147806004622;0.0;0.6547344110854504;0.5;0.0;0.21362586605080833;0.6073190789473684;0.671875
2002;BMY;A+;A;A+;A-;D-;B;C+;B+;A;C-;A+;C+;A;C+;B;A+;0.9848484848484849;0.8466666666666667;0.9210526315789473;0.7887260765550241;0.0;0.5984036287221468;0.45;0.7468072574442935;0.853997433923531;0.3;0.9734411085450346;0.5;0.90625;0.4607390300230947;0.6545116593443728;0.9242424242424242
2002;C;B-;C;C+;C+;D-;C;A+;C;C;D-;C-;D-;A;C+;C;B;0.56875;0.3933333333333333;0.48214285714285715;0.4977422003284074;0.0;0.37384709543872996;1.0;0.37384709543872996;0.35968078008724663;0.0;0.31986143187066973;0.0;0.8793103448275862;0.46997690531177827;0.37227822580645153;0.60625
2002;CL;A+;D-;D;D-;D-;C;A+;C;A-;D-;A+;D+;D-;B-;C;A;0.9583333333333334;0.0;0.08333333333333333;0.03055555555555555;0.0;0.4082899630268131;1.0;0.4082899630268131;0.7739030023094692;0.0;0.9872979214780601;0.16666666666666666;0.0;0.5785219399538106;0.41452380952380957;0.875
2002;CMCSA;D;D-;D-;D-;D-;D;A;D;D;D-;D;D-;D-;D;D;C;0.1527777777777778;0.0;0.0;0.0;0.0;0.1040744778185553;0.85;0.1040744778185553;0.1335642802155505;0.0;0.1605080831408776;0.0;0.0;0.13279445727482678;0.13554852320675112;0.4027777777777778
2002;COP;B;D+;C+;D;D-;C-;A;C-;C+;D-;C;D-;D-;B+;C-;B-;0.625;0.18;0.425;0.13522727272727278;0.0;0.26714947503250674;0.8571428571428571;0.26714947503250674;0.4427066974595844;0.0;0.4122401847575058;0.0;0.0;0.7193995381062356;0.27720293724966594;0.5535714285714286
